ID,Author,Authsex,Bibliography,Comment,Conglomerate,Date,Dateorig,Genre,Lang,Medium,Name,Origlang,Subtype,Translation,Type,Dateorig_upraveny
2017-05-05-c-1,Peter Karvaš,msc,"Karvaš, Peter: Pokolenie v útoku. Bratislava: Slovenský spisovateľ 1956. 620 s.","edícia Pôvodná próza, zv. 84, (dvojdielna próza Toto pokolenie, Pokolenie v útoku)",Peter Karvaš - Pokolenie v útoku,1956,1952,nov,slk,lib,Pokolenie v útoku,YYY,pro,org,img,1952
2017-05-24-v-1,Rudo Moric,msc,"Moric, Rudo: Cez šesťdesiatjeden končiarov. Bratislava: Slovenské nakladateľstvo detskej knihy 1956. 145 s.",,Rudo Moric - Cez šesťdesiatjeden končiarov,1956,1956,fac,slk,lib,Cez šesťdesiatjeden končiarov,YYY,pro,org,img,1956
2017-08-07-a-1,Jozef Horák,msc,"Horák, Jozef: Hory mlčia. In: Horák, Jozef: Osudy. Bratislava: Slovenský spisovateľ 1987. 456 s.",,Jozef Horák - Hory mlčia,1987,1947,nov,slk,lib,Hory mlčia,YYY,pro,org,img,1947
2017-08-14-c-1,Ladislav Mňačko,msc,"Mňačko, Ladislav: Smrť sa volá Engelchen. Bratislava: Slovenské vydavateľstvo politickej literatúry 1959. 254 s.",,Ladislav Mňačko - Smrť sa volá Engelchen,1959,1959,nov,slk,lib,Smrť sa volá Engelchen,YYY,pro,org,img,1959
2017-09-26-a-1,Ján Hrušovský,msc,"Hrušovský, Ján: Muž s protézou. Prípad poručíka Seeborna. Bratislava: Vydavateľstvo Spolku slovenských spisovateľov 2000. 83 s.",,Ján Hrušovský - Muž s protézou,2000,1925,col,slk,lib,Muž s protézou,YYY,pro,org,img,1925
2017-10-18-c-2,Margita Figuli,fem,"Figuli, Margita: Tri gaštanové kone. Bratislava: Slovenský spisovateľ 1979. 272 s.","Klenoty, Čítanie študujúcej mládeže",Margita Figuli - Tri gaštanové kone,1979,1940,col,slk,lib,Tri gaštanové kone,YYY,pro,org,img,1940
2017-11-08-a-1,Margita Figuli,fem,"Figuli, Margita: Babylon 1. Bratislava: Slovenský spisovateľ 1969. 496 s.",,Margita Figuli - Babylon 1,1969,1946,nov,slk,lib,Babylon 1,YYY,pro,org,img,1946
2017-11-23-a-2,Peter Jilemnický,msc,"Jilemnický, Peter: Prípad Evy Burdovej. Bratislava: Slovenský spisovateľ 1979. 248 s.","novela zo zbierky Kompas v nás, TV film (1981)",Peter Jilemnický - Prípad Evy Burdovej,1979,1937,col,slk,lib,Prípad Evy Burdovej,YYY,pro,org,img,1937
2017-12-04-b-1,Margita Figuli,fem,"Figuli, Margita: Babylon 2. Bratislava: Slovenský spisovateľ 1969. 468 s.",,Margita Figuli - Babylon 2,1969,1946,nov,slk,lib,Babylon 2,YYY,pro,org,img,1946
2018-01-08-a-1,Ján Bodenek,msc,"Bodenek, Ján: Ivkova biela mať. Bratislava: Mladé letá 1981. 139 s.",,Ján Bodenek - Ivkova biela mať,1981,1938,nov,slk,lib,Ivkova biela mať,YYY,pro,org,img,1938
